Customer,SalesOrg,DistributionChannel,FulfillmentMethod,Currency,UOM,RetailItemNumber,UPC,GTIN,Material,TCINNo,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,Time,Vendor,Store,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,TotalInvValue
104566,UK01,00,,GBP,PC,562208,,,6060831,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,19.99,0,8,0.00,0,8,,,159.92
104566,UK01,00,,GBP,PC,557369,,,6061300,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,19.99,0,280,1379.31,69,280,,,5597.20
104566,UK01,00,,GBP,PC,552734,,,6062331,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,59.99,0,15,0.00,0,15,,,899.85
104566,UK01,00,,GBP,PC,545790,,,6055296,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,14.99,0,4,0.00,0,4,,,59.96
104566,UK01,00,,GBP,PC,562902,,,6064765,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,7.49,0,149,254.66,34,149,,,1116.01
104566,UK01,00,,GBP,PC,563903,,,6065486,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,8,0,560,584.00,73,560,,,4480.00
104566,UK01,00,,GBP,PC,529357,,,6027718,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,11.5,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,563851,,,6065835,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,27.99,0,400,895.68,32,400,,,11196.00
104566,UK01,00,,GBP,PC,528068,,,6025117,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,1.8,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,528069,,,6025124,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,3,0,0,0.00,0,0,,,0.00
104566,UK01,00,,GBP,PC,550718,,,6045117,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,10,0,4,0.00,0,4,,,40.00
104566,UK01,00,,GBP,PC,537353,,,6028214,,0,0,0,2023-12-30T00:00:00.000Z,0,0,0,0,0,12.5,0,0,0.00,0,0,,,0.00
