Customer,SalesOrg,Time,DistributionChannel,FulfillmentMethod,Currency,UOM,Vendor,Store,RetailItemNumber,UPC,GTIN,Material,TCINNo,StoreCount,OnOrderQty,RetailerCost,RetailerPrice,WarehouseInv,OnhandInv,POSSales,POSSalesUnits,TotalInv,InStock,OutStock,unsellableOnHandUnits,unsellableOnHandUnitsAmount,sellableOnHandInventoryAmount,TotalInvValue
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B6WQ81W1,,,,,,1000,,11.65,,507,279.84,24,507,,,0,0.00,5843.60,5906.55
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRYHVWR2,,,,,,4336,,16.66,,12,1616.02,97,12,,,1,7.34,156.00,199.92
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0C2D78LKT,,,,,,0,,16.66,,0,299.88,18,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B06XW91YDQ,,,,,,,,12.49,,0,12.49,1,0,,,1,7.30,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0B9T7G2HL,,,,,,0,,14.99,,90,389.74,26,90,,,0,0.00,1800.00,1349.10
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B099T9JDNR,,,,,,0,,12.49,,1,174.86,14,1,,,0,0.00,9.47,12.49
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BJ2CRYXT,,,,,,0,,15.82,,433,31.65,2,433,,,0,0.00,4501.23,6850.06
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B082DWB4LM,,,,,,,,11.36,,131,11.36,1,131,,,0,0.00,1400.39,1488.16
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09FG59Y5D,,,,,,3036,,7.48,,411,636.65,85,411,,,2,6.50,2368.93,3074.28
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08T5V5YBC,,,,,,0,,62.58,,150,250.33,4,150,,,2,95.85,7193.07,9387.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B07WMJ64KN,,,,,,1192,,14.85,,0,252.56,17,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09J8JRK42,,,,,,0,,0.00,,28,0.00,0,28,,,0,0.00,248.36,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B08NK6K4L1,,,,,,0,,21.74,,104,1022.05,47,104,,,0,0.00,1311.44,2260.96
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B00KQWHQ36,,,,,,0,,0.00,,30,0.00,0,30,,,0,0.00,159.30,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0CFBHC1SJ,,,,,,632,,12.49,,324,12.49,1,324,,,0,0.00,3236.76,4046.76
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BRT79FPD,,,,,,1008,,20.82,,75,291.48,14,75,,,0,0.00,1334.97,1561.50
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B09RQVZPRQ,,,,,,0,,33.61,,0,470.64,14,,,,0,0.00,0.00,0.00
AMAZONFR,FR01,2023-12-30T00:00:00.000,00,,EUR,PC,,,B0BSXNHBXW,,,,,,1473,,0.00,,55,0.00,0,55,,,0,0.00,522.50,0.00
